Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
mardi 22 octobre 2013,Champions League,AC Milan,AC Milan,FC Barcelona,23,1,1,,Left foot,Draw
mardi 2 avril 2013,Champions League,Paris Saint-Germain,Paris Saint-Germain,FC Barcelona,38,0,1,,Left foot,Draw
jeudi 24 janvier 2013,,M�laga,M�laga,FC Barcelona,80,2,4,,Head,Won
mercredi 12 d�cembre 2012,,C�rdoba,C�rdoba,FC Barcelona,74,0,2,,Left foot,Won
mercredi 12 d�cembre 2012,,C�rdoba,C�rdoba,FC Barcelona,11,0,1,,Left foot,Won
mardi 20 novembre 2012,Champions League,Spartak Moscow,Spartak Moscow,FC Barcelona,39,0,3,,Left foot,Won
mardi 20 novembre 2012,Champions League,Spartak Moscow,Spartak Moscow,FC Barcelona,27,0,2,Rebound,Right foot,Won
mercredi 7 novembre 2012,Champions League,Celtic,Celtic,FC Barcelona,90+1,2,1,Rebound,Left foot,Lost
mercredi 29 ao�t 2012,,Real Madrid,Real Madrid,FC Barcelona,45,2,1,Free kick,Left foot,Lost
vendredi 25 mai 2012,,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,20,0,2,,Right foot,Won
mardi 14 f�vrier 2012,Champions League,Bayer Leverkusen,Bayer Leverkusen,FC Barcelona,88,1,3,Field goal,Left foot,Won
dimanche 18 d�cembre 2011,,Santos,Santos,FC Barcelona,82,0,4,,Left foot,Won
dimanche 18 d�cembre 2011,,Santos,Santos,FC Barcelona,17,0,1,,Left foot,Won
mercredi 23 novembre 2011,Champions League,AC Milan,AC Milan,FC Barcelona,31,1,2,Penalty,Left foot,Won
mardi 1 novembre 2011,Champions League,Viktoria Plzen,Viktoria Plzen,FC Barcelona,90+2,0,4,,Left foot,Won
mardi 1 novembre 2011,Champions League,Viktoria Plzen,Viktoria Plzen,FC Barcelona,45,0,2,,Left foot,Won
mardi 1 novembre 2011,Champions League,Viktoria Plzen,Viktoria Plzen,FC Barcelona,24,0,1,Penalty,Left foot,Won
mercredi 28 septembre 2011,Champions League,BATE Borisov,BATE Borisov,FC Barcelona,55,0,4,,Left foot,Won
mercredi 28 septembre 2011,Champions League,BATE Borisov,BATE Borisov,FC Barcelona,38,0,3,,Head,Won
dimanche 14 ao�t 2011,,Real Madrid,Real Madrid,FC Barcelona,45,1,2,,Left foot,Draw
mercredi 27 avril 2011,Champions League,Real Madrid,Real Madrid,FC Barcelona,87,0,2,Solo run,Right foot,Won
mercredi 27 avril 2011,Champions League,Real Madrid,Real Madrid,FC Barcelona,76,0,1,Field goal,Left foot,Won
mardi 12 avril 2011,Champions League,Shakhtar Donetsk,Shakhtar Donetsk,FC Barcelona,43,0,1,,Left foot,Won
mercredi 19 janvier 2011,,Real Betis,Real Betis,FC Barcelona,38,2,1,,Left foot,Lost
mercredi 24 novembre 2010,Champions League,Panathinaikos,Panathinaikos,FC Barcelona,62,0,2,,Left foot,Won
mardi 2 novembre 2010,Champions League,FC Copenhagen,FC Copenhagen,FC Barcelona,31,0,1,,Right foot,Draw
samedi 19 d�cembre 2009,,Estudiantes La Plata,Estudiantes La Plata,FC Barcelona,110,1,2,,Chest,Won
mercredi 16 d�cembre 2009,,Atlante,Atlante,FC Barcelona,55,1,2,,Left foot,Won
mercredi 9 d�cembre 2009,Champions League,Dynamo Kyiv,Dynamo Kyiv,FC Barcelona,86,1,2,Free kick,Left foot,Won
mercredi 13 mai 2009,,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,55,1,2,,Left foot,Won
mercredi 4 mars 2009,,Real Mallorca,Real Mallorca,FC Barcelona,81,1,1,,Left foot,Draw
mardi 6 janvier 2009,,Atl�tico Madrid,Atl�tico Madrid,FC Barcelona,80,1,3,,Right foot,Won
mardi 6 janvier 2009,,Atl�tico Madrid,Atl�tico Madrid,FC Barcelona,57,0,2,Penalty,Left foot,Won
mardi 6 janvier 2009,,Atl�tico Madrid,Atl�tico Madrid,FC Barcelona,13,0,1,,Left foot,Won
mercredi 26 novembre 2008,Champions League,Sporting Lisbon,Sporting Lisbon,FC Barcelona,49,0,3,,Left foot,Won
mercredi 22 octobre 2008,Champions League,FC Basel,FC Basel,FC Barcelona,4,0,1,,Left foot,Won
mercredi 1 octobre 2008,Champions League,Shakhtar Donetsk,Shakhtar Donetsk,FC Barcelona,90+4,1,2,,Left foot,Won
mercredi 1 octobre 2008,Champions League,Shakhtar Donetsk,Shakhtar Donetsk,FC Barcelona,87,1,1,Rebound,Right foot,Won
mercredi 20 f�vrier 2008,Champions League,Celtic,Celtic,FC Barcelona,79,2,3,,Left foot,Won
mercredi 20 f�vrier 2008,Champions League,Celtic,Celtic,FC Barcelona,18,1,1,,Left foot,Won
mardi 27 novembre 2007,Champions League,Olympique Lyon,Olympique Lyon,FC Barcelona,58,1,2,Penalty,Left foot,Draw
mardi 2 octobre 2007,Champions League,VfB Stuttgart,VfB Stuttgart,FC Barcelona,67,0,2,,Right foot,Won
mercredi 27 septembre 2006,Champions League,Werder Bremen,Werder Bremen,FC Barcelona,89,1,1,,Left foot,Draw
samedi 23 f�vrier 2019,Liga,Sevilla,Sevilla,FC Barcelona,85,2,3,Field goal,Left foot,Won
samedi 23 f�vrier 2019,Liga,Sevilla,Sevilla,FC Barcelona,67,2,2,Field goal,Right foot,Won
samedi 23 f�vrier 2019,Liga,Sevilla,Sevilla,FC Barcelona,26,1,1,Field goal,Left foot,Won
dimanche 7 octobre 2018,Liga,Valencia,Valencia,FC Barcelona,23,1,1,Field goal,Left foot,Draw
dimanche 29 avril 2018,Liga,Deportivo La Coru�a,Deportivo La Coru�a,FC Barcelona,85,2,4,Field goal,Left foot,Won
dimanche 29 avril 2018,Liga,Deportivo La Coru�a,Deportivo La Coru�a,FC Barcelona,82,2,3,Field goal,Right foot,Won
samedi 31 mars 2018,Liga,Sevilla,Sevilla,FC Barcelona,89,2,2,Field goal,Left foot,Draw
dimanche 14 janvier 2018,Liga,Real Sociedad,Real Sociedad,FC Barcelona,85,2,4,Free kick,Left foot,Won
dimanche 23 avril 2017,Liga,Real Madrid,Real Madrid,FC Barcelona,90+2,2,3,Field goal,Left foot,Won
dimanche 23 avril 2017,Liga,Real Madrid,Real Madrid,FC Barcelona,33,1,1,Field goal,Left foot,Won
dimanche 26 f�vrier 2017,Liga,Atl�tico Madrid,Atl�tico Madrid,FC Barcelona,87,1,2,Rebound,Left foot,Won
dimanche 8 janvier 2017,Liga,Villarreal,Villarreal,FC Barcelona,90,1,1,Free kick,Left foot,Draw
dimanche 27 novembre 2016,Liga,Real Sociedad,Real Sociedad,FC Barcelona,59,1,1,Field goal,Left foot,Draw
dimanche 6 novembre 2016,Liga,Sevilla,Sevilla,FC Barcelona,43,1,1,Field goal,Left foot,Won
samedi 22 octobre 2016,Liga,Valencia,Valencia,FC Barcelona,90+4,2,3,Penalty,Left foot,Won
jeudi 3 mars 2016,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,72,1,4,Field goal,Left foot,Won
mercredi 17 f�vrier 2016,Liga,Sporting Gij�n,Sporting Gij�n,FC Barcelona,31,1,2,Field goal,Left foot,Won
samedi 23 janvier 2016,Liga,M�laga,M�laga,FC Barcelona,51,1,2,Field goal,Left foot,Won
samedi 12 septembre 2015,Liga,Atl�tico Madrid,Atl�tico Madrid,FC Barcelona,77,1,2,Field goal,Left foot,Won
samedi 28 f�vrier 2015,Liga,Granada,Granada,FC Barcelona,70,1,3,,Right foot,Won
dimanche 27 avril 2014,Liga,Villarreal,Villarreal,FC Barcelona,83,2,3,,Right foot,Won
dimanche 23 mars 2014,Liga,Real Madrid,Real Madrid,FC Barcelona,84,3,4,Penalty,Left foot,Won
dimanche 23 mars 2014,Liga,Real Madrid,Real Madrid,FC Barcelona,65,3,3,Penalty,Left foot,Won
dimanche 23 mars 2014,Liga,Real Madrid,Real Madrid,FC Barcelona,42,2,2,,Left foot,Won
samedi 22 f�vrier 2014,Liga,Real Sociedad,Real Sociedad,FC Barcelona,36,1,1,,Left foot,Lost
dimanche 9 f�vrier 2014,Liga,Sevilla,Sevilla,FC Barcelona,56,1,3,,Left foot,Won
dimanche 9 f�vrier 2014,Liga,Sevilla,Sevilla,FC Barcelona,44,1,2,,Left foot,Won
samedi 27 avril 2013,Liga,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,67,1,1,Solo run,Left foot,Draw
samedi 30 mars 2013,Liga,Celta de Vigo,Celta de Vigo,FC Barcelona,73,1,2,,Left foot,Draw
samedi 2 mars 2013,Liga,Real Madrid,Real Madrid,FC Barcelona,18,1,1,,Left foot,Lost
samedi 16 f�vrier 2013,Liga,Granada,Granada,FC Barcelona,73,1,2,Free kick,Left foot,Won
samedi 16 f�vrier 2013,Liga,Granada,Granada,FC Barcelona,50,1,1,Rebound,Right foot,Won
dimanche 3 f�vrier 2013,Liga,Valencia,Valencia,FC Barcelona,39,1,1,Penalty,Left foot,Draw
dimanche 11 novembre 2012,Liga,Real Mallorca,Real Mallorca,FC Barcelona,70,2,4,,Left foot,Won
samedi 20 octobre 2012,Liga,Deportivo La Coru�a,Deportivo La Coru�a,FC Barcelona,77,3,5,,Left foot,Won
samedi 20 octobre 2012,Liga,Deportivo La Coru�a,Deportivo La Coru�a,FC Barcelona,43,2,4,,Right foot,Won
dimanche 26 ao�t 2012,Liga,Osasuna,Osasuna,FC Barcelona,80,1,2,,Left foot,Won
dimanche 26 ao�t 2012,Liga,Osasuna,Osasuna,FC Barcelona,76,1,1,,Left foot,Won
samedi 14 avril 2012,Liga,Levante,Levante,FC Barcelona,72,1,2,Penalty,Left foot,Won
samedi 14 avril 2012,Liga,Levante,Levante,FC Barcelona,64,1,1,Field goal,Left foot,Won
samedi 7 avril 2012,Liga,Real Zaragoza,Real Zaragoza,FC Barcelona,86,1,3,Penalty,Left foot,Won
samedi 7 avril 2012,Liga,Real Zaragoza,Real Zaragoza,FC Barcelona,39,1,2,,Left foot,Won
dimanche 26 f�vrier 2012,Liga,Atl�tico Madrid,Atl�tico Madrid,FC Barcelona,81,1,2,Free kick,Left foot,Won
dimanche 6 novembre 2011,Liga,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,90+1,2,2,Rebound,Left foot,Draw
samedi 1 mai 2010,Liga,Villarreal,Villarreal,FC Barcelona,88,1,4,,Left foot,Won
samedi 6 mars 2010,Liga,UD Almer�a,UD Almer�a,FC Barcelona,66,2,2,,Left foot,Draw
samedi 6 mars 2010,Liga,UD Almer�a,UD Almer�a,FC Barcelona,42,1,1,Free kick,Left foot,Draw
samedi 5 d�cembre 2009,Liga,Deportivo La Coru�a,Deportivo La Coru�a,FC Barcelona,80,1,2,,Head,Won
samedi 2 mai 2009,Liga,Real Madrid,Real Madrid,FC Barcelona,75,2,5,,Left foot,Won
samedi 2 mai 2009,Liga,Real Madrid,Real Madrid,FC Barcelona,36,1,3,,Left foot,Won
dimanche 1 f�vrier 2009,Liga,Racing Santander,Racing Santander,FC Barcelona,81,1,2,,Right foot,Won
dimanche 1 f�vrier 2009,Liga,Racing Santander,Racing Santander,FC Barcelona,65,1,1,Rebound,Right foot,Won
dimanche 11 janvier 2009,Liga,Osasuna,Osasuna,FC Barcelona,85,2,3,,Left foot,Won
samedi 1 novembre 2008,Liga,M�laga,M�laga,FC Barcelona,19,1,2,,Left foot,Won
samedi 27 septembre 2008,Liga,Espanyol,Espanyol,FC Barcelona,90+7,1,2,Penalty,Left foot,Won
dimanche 21 septembre 2008,Liga,Sporting Gij�n,Sporting Gij�n,FC Barcelona,89,1,6,Field goal,Head,Won
dimanche 21 septembre 2008,Liga,Sporting Gij�n,Sporting Gij�n,FC Barcelona,85,1,5,Field goal,Left foot,Won
lundi 28 ao�t 2006,Liga,Celta de Vigo,Celta de Vigo,FC Barcelona,60,1,2,,Left foot,Won
dimanche 16 d�cembre 2018,Liga,Levante,Levante,FC Barcelona,43,0,2,Field goal,Right foot,Won
samedi 2 mai 2015,Liga,C�rdoba,C�rdoba,FC Barcelona,46,0,3,,Head,Won
samedi 14 mars 2015,Liga,Eibar,Eibar,FC Barcelona,55,0,2,,Head,Won
dimanche 18 janvier 2015,Liga,Deportivo La Coru�a,Deportivo La Coru�a,FC Barcelona,10,0,1,,Head,Won
dimanche 21 septembre 2014,Liga,Levante,Levante,FC Barcelona,77,0,5,,Right foot,Won
dimanche 1 septembre 2013,Liga,Valencia,Valencia,FC Barcelona,39,0,2,,Right foot,Won
dimanche 13 janvier 2013,Liga,M�laga,M�laga,FC Barcelona,27,0,1,,Right foot,Won
samedi 27 octobre 2012,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,89,0,5,,Right foot,Won
dimanche 22 janvier 2012,Liga,M�laga,M�laga,FC Barcelona,33,0,1,,Head,Won
samedi 26 f�vrier 2011,Liga,Real Mallorca,Real Mallorca,FC Barcelona,38,0,1,,Head,Won
dimanche 29 ao�t 2010,Liga,Racing Santander,Racing Santander,FC Barcelona,3,0,1,,Right foot,Won
samedi 10 avril 2010,Liga,Real Madrid,Real Madrid,FC Barcelona,33,0,1,,Right foot,Won
dimanche 21 mars 2010,Liga,Real Zaragoza,Real Zaragoza,FC Barcelona,5,0,1,,Head,Won
dimanche 10 janvier 2010,Liga,Tenerife,Tenerife,FC Barcelona,45,0,3,,Right foot,Won
samedi 12 septembre 2009,Liga,Getafe,Getafe,FC Barcelona,80,0,2,,Head,Won
dimanche 29 janvier 2006,Liga,Real Mallorca,Real Mallorca,FC Barcelona,75,0,2,,Right foot,Won
dimanche 27 janvier 2019,Liga,Girona,Girona,FC Barcelona,68,0,2,Field goal,Left foot,Won
dimanche 6 janvier 2019,Liga,Getafe,Getafe,FC Barcelona,20,0,1,Field goal,Left foot,Won
dimanche 16 d�cembre 2018,Liga,Levante,Levante,FC Barcelona,60,0,4,Field goal,Left foot,Won
dimanche 16 d�cembre 2018,Liga,Levante,Levante,FC Barcelona,47,0,3,Field goal,Left foot,Won
samedi 8 d�cembre 2018,Liga,Espanyol,Espanyol,FC Barcelona,65,0,4,Free kick,Left foot,Won
samedi 8 d�cembre 2018,Liga,Espanyol,Espanyol,FC Barcelona,18,0,1,Free kick,Left foot,Won
dimanche 29 avril 2018,Liga,Deportivo La Coru�a,Deportivo La Coru�a,FC Barcelona,38,0,2,Field goal,Left foot,Won
jeudi 1 mars 2018,Liga,Las Palmas,Las Palmas,FC Barcelona,21,0,1,Free kick,Left foot,Draw
dimanche 21 janvier 2018,Liga,Real Betis,Real Betis,FC Barcelona,80,0,4,Solo run,Left foot,Won
dimanche 21 janvier 2018,Liga,Real Betis,Real Betis,FC Barcelona,64,0,2,Field goal,Left foot,Won
samedi 23 d�cembre 2017,Liga,Real Madrid,Real Madrid,FC Barcelona,64,0,2,Penalty,Left foot,Won
dimanche 10 d�cembre 2017,Liga,Villarreal,Villarreal,FC Barcelona,83,0,2,Field goal,Left foot,Won
samedi 28 octobre 2017,Liga,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,36,0,1,Field goal,Left foot,Won
samedi 26 ao�t 2017,Liga,Alav�s,Alav�s,FC Barcelona,66,0,2,Field goal,Left foot,Won
samedi 26 ao�t 2017,Liga,Alav�s,Alav�s,FC Barcelona,55,0,1,Field goal,Left foot,Won
samedi 11 f�vrier 2017,Liga,Alav�s,Alav�s,FC Barcelona,59,0,3,Field goal,Left foot,Won
dimanche 22 janvier 2017,Liga,Eibar,Eibar,FC Barcelona,50,0,2,Field goal,Left foot,Won
samedi 10 d�cembre 2016,Liga,Osasuna,Osasuna,FC Barcelona,90+2,0,3,Solo run,Left foot,Won
samedi 10 d�cembre 2016,Liga,Osasuna,Osasuna,FC Barcelona,72,0,2,Field goal,Left foot,Won
samedi 22 octobre 2016,Liga,Valencia,Valencia,FC Barcelona,22,0,1,Field goal,Left foot,Won
samedi 17 septembre 2016,Liga,Legan�s,Legan�s,FC Barcelona,55,0,4,Penalty,Left foot,Won
samedi 17 septembre 2016,Liga,Legan�s,Legan�s,FC Barcelona,15,0,1,Field goal,Left foot,Won
mercredi 20 avril 2016,Liga,Deportivo La Coru�a,Deportivo La Coru�a,FC Barcelona,73,0,6,Field goal,Left foot,Won
dimanche 6 mars 2016,Liga,Eibar,Eibar,FC Barcelona,76,0,3,Penalty,Left foot,Won
dimanche 6 mars 2016,Liga,Eibar,Eibar,FC Barcelona,41,0,2,Field goal,Left foot,Won
jeudi 3 mars 2016,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,54,0,3,Rebound,Left foot,Won
jeudi 3 mars 2016,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,23,0,2,Field goal,Left foot,Won
mercredi 17 f�vrier 2016,Liga,Sporting Gij�n,Sporting Gij�n,FC Barcelona,25,0,1,Field goal,Left foot,Won
dimanche 17 mai 2015,Liga,Atl�tico Madrid,Atl�tico Madrid,FC Barcelona,65,0,1,,Left foot,Won
samedi 2 mai 2015,Liga,C�rdoba,C�rdoba,FC Barcelona,80,0,6,Rebound,Left foot,Won
samedi 25 avril 2015,Liga,Espanyol,Espanyol,FC Barcelona,25,0,2,,Left foot,Won
samedi 11 avril 2015,Liga,Sevilla,Sevilla,FC Barcelona,14,0,1,,Left foot,Draw
samedi 14 mars 2015,Liga,Eibar,Eibar,FC Barcelona,31,0,1,Penalty,Left foot,Won
dimanche 8 f�vrier 2015,Liga,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,15,0,1,Free kick,Left foot,Won
samedi 24 janvier 2015,Liga,Elche,Elche,FC Barcelona,88,0,5,,Left foot,Won
samedi 24 janvier 2015,Liga,Elche,Elche,FC Barcelona,55,0,2,Penalty,Left foot,Won
dimanche 18 janvier 2015,Liga,Deportivo La Coru�a,Deportivo La Coru�a,FC Barcelona,62,0,3,,Left foot,Won
dimanche 18 janvier 2015,Liga,Deportivo La Coru�a,Deportivo La Coru�a,FC Barcelona,33,0,2,,Left foot,Won
samedi 4 octobre 2014,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,35,0,1,,Left foot,Won
samedi 29 mars 2014,Liga,Espanyol,Espanyol,FC Barcelona,77,0,1,Penalty,Left foot,Won
samedi 28 septembre 2013,Liga,UD Almer�a,UD Almer�a,FC Barcelona,21,0,1,,Left foot,Won
dimanche 1 septembre 2013,Liga,Valencia,Valencia,FC Barcelona,41,0,3,,Left foot,Won
dimanche 1 septembre 2013,Liga,Valencia,Valencia,FC Barcelona,11,0,1,,Left foot,Won
samedi 19 janvier 2013,Liga,Real Sociedad,Real Sociedad,FC Barcelona,7,0,1,,Left foot,Lost
samedi 22 d�cembre 2012,Liga,Real Valladolid,Real Valladolid,FC Barcelona,59,0,2,,Left foot,Won
dimanche 9 d�cembre 2012,Liga,Real Betis,Real Betis,FC Barcelona,25,0,2,,Left foot,Won
dimanche 9 d�cembre 2012,Liga,Real Betis,Real Betis,FC Barcelona,16,0,1,,Left foot,Won
dimanche 25 novembre 2012,Liga,Levante,Levante,FC Barcelona,52,0,2,,Left foot,Won
dimanche 25 novembre 2012,Liga,Levante,Levante,FC Barcelona,47,0,1,,Left foot,Won
dimanche 11 novembre 2012,Liga,Real Mallorca,Real Mallorca,FC Barcelona,44,0,2,,Left foot,Won
samedi 27 octobre 2012,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,48,0,2,,Left foot,Won
samedi 20 octobre 2012,Liga,Deportivo La Coru�a,Deportivo La Coru�a,FC Barcelona,18,0,3,,Left foot,Won
samedi 15 septembre 2012,Liga,Getafe,Getafe,FC Barcelona,78,0,3,,Left foot,Won
samedi 15 septembre 2012,Liga,Getafe,Getafe,FC Barcelona,74,0,2,Penalty,Left foot,Won
dimanche 29 avril 2012,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,90,0,7,,Left foot,Won
dimanche 29 avril 2012,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,16,0,1,,Left foot,Won
samedi 24 mars 2012,Liga,Real Mallorca,Real Mallorca,FC Barcelona,25,0,1,Free kick,Left foot,Won
samedi 17 mars 2012,Liga,Sevilla,Sevilla,FC Barcelona,25,0,2,,Left foot,Won
dimanche 11 mars 2012,Liga,Racing Santander,Racing Santander,FC Barcelona,56,0,2,Penalty,Left foot,Won
dimanche 11 mars 2012,Liga,Racing Santander,Racing Santander,FC Barcelona,29,0,1,,Left foot,Won
dimanche 22 janvier 2012,Liga,M�laga,M�laga,FC Barcelona,81,0,4,,Left foot,Won
dimanche 22 janvier 2012,Liga,M�laga,M�laga,FC Barcelona,51,0,3,,Left foot,Won
samedi 16 avril 2011,Liga,Real Madrid,Real Madrid,FC Barcelona,53,0,1,Penalty,Left foot,Draw
mercredi 2 mars 2011,Liga,Valencia,Valencia,FC Barcelona,77,0,1,,Left foot,Won
samedi 29 janvier 2011,Liga,Hercules Alicante,Hercules Alicante,FC Barcelona,89,0,3,,Left foot,Won
samedi 29 janvier 2011,Liga,Hercules Alicante,Hercules Alicante,FC Barcelona,87,0,2,,Left foot,Won
samedi 8 janvier 2011,Liga,Deportivo La Coru�a,Deportivo La Coru�a,FC Barcelona,52,0,2,Free kick,Left foot,Won
samedi 4 d�cembre 2010,Liga,Osasuna,Osasuna,FC Barcelona,83,0,3,Penalty,Left foot,Won
samedi 4 d�cembre 2010,Liga,Osasuna,Osasuna,FC Barcelona,65,0,2,,Left foot,Won
samedi 20 novembre 2010,Liga,UD Almer�a,UD Almer�a,FC Barcelona,67,0,7,Rebound,Left foot,Won
samedi 20 novembre 2010,Liga,UD Almer�a,UD Almer�a,FC Barcelona,37,0,5,Rebound,Left foot,Won
samedi 20 novembre 2010,Liga,UD Almer�a,UD Almer�a,FC Barcelona,17,0,1,Field goal,Left foot,Won
dimanche 7 novembre 2010,Liga,Getafe,Getafe,FC Barcelona,23,0,1,,Left foot,Won
samedi 23 octobre 2010,Liga,Real Zaragoza,Real Zaragoza,FC Barcelona,66,0,2,,Left foot,Won
samedi 23 octobre 2010,Liga,Real Zaragoza,Real Zaragoza,FC Barcelona,42,0,1,,Left foot,Won
dimanche 19 septembre 2010,Liga,Atl�tico Madrid,Atl�tico Madrid,FC Barcelona,13,0,1,,Left foot,Won
samedi 8 mai 2010,Liga,Sevilla,Sevilla,FC Barcelona,5,0,1,,Left foot,Won
samedi 1 mai 2010,Liga,Villarreal,Villarreal,FC Barcelona,19,0,1,,Left foot,Won
dimanche 21 mars 2010,Liga,Real Zaragoza,Real Zaragoza,FC Barcelona,78,0,3,,Left foot,Won
dimanche 21 mars 2010,Liga,Real Zaragoza,Real Zaragoza,FC Barcelona,66,0,2,Solo run,Left foot,Won
samedi 23 janvier 2010,Liga,Real Valladolid,Real Valladolid,FC Barcelona,56,0,3,,Left foot,Won
dimanche 10 janvier 2010,Liga,Tenerife,Tenerife,FC Barcelona,75,0,4,,Left foot,Won
dimanche 10 janvier 2010,Liga,Tenerife,Tenerife,FC Barcelona,36,0,1,,Left foot,Won
samedi 5 d�cembre 2009,Liga,Deportivo La Coru�a,Deportivo La Coru�a,FC Barcelona,27,0,1,,Left foot,Won
mardi 22 septembre 2009,Liga,Racing Santander,Racing Santander,FC Barcelona,63,0,4,,Left foot,Won
mardi 22 septembre 2009,Liga,Racing Santander,Racing Santander,FC Barcelona,24,0,2,,Left foot,Won
samedi 25 avril 2009,Liga,Valencia,Valencia,FC Barcelona,24,0,1,,Left foot,Draw
samedi 18 avril 2009,Liga,Getafe,Getafe,FC Barcelona,19,0,1,,Left foot,Won
dimanche 1 mars 2009,Liga,Atl�tico Madrid,Atl�tico Madrid,FC Barcelona,30,0,2,,Left foot,Lost
samedi 29 novembre 2008,Liga,Sevilla,Sevilla,FC Barcelona,90+2,0,3,,Left foot,Won
samedi 29 novembre 2008,Liga,Sevilla,Sevilla,FC Barcelona,78,0,2,,Left foot,Won
dimanche 16 novembre 2008,Liga,Recreativo Huelva,Recreativo Huelva,FC Barcelona,52,0,1,,Left foot,Won
samedi 29 septembre 2007,Liga,Levante,Levante,FC Barcelona,51,0,4,,Left foot,Won
dimanche 17 juin 2007,Liga,Gimn�stic,Gimn�stic,FC Barcelona,51,0,4,,Left foot,Won
dimanche 17 juin 2007,Liga,Gimn�stic,Gimn�stic,FC Barcelona,35,0,2,,Left foot,Won
dimanche 20 mai 2007,Liga,Atl�tico Madrid,Atl�tico Madrid,FC Barcelona,80,0,5,,Left foot,Won
dimanche 20 mai 2007,Liga,Atl�tico Madrid,Atl�tico Madrid,FC Barcelona,39,0,1,,Left foot,Won
samedi 17 mars 2007,Liga,Recreativo Huelva,Recreativo Huelva,FC Barcelona,86,0,4,,Left foot,Won
dimanche 29 janvier 2006,Liga,Real Mallorca,Real Mallorca,FC Barcelona,81,0,3,,Left foot,Won
